STATION_ID,CITY,COUNTRY,COUNTRY_ISO,CODEN,LATITUDE,LONGITUDE,ELEVATION,Year,Season,AVG_PRCP,AVG_TAVG,AVG_TMAX,AVG_TMIN
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1981,Summer,0.31,22.84,28.97,17.36
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1981,Winter,1.83,11.26,16.91,6.19
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1982,Fall,4.08,15.98,21.2,11.59
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1982,Spring,1.36,17.18,22.27,12.21
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1982,Summer,0.55,25.01,31.01,19.61
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1982,Winter,3.62,11.34,17.22,6.24
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1983,Fall,1.72,17.32,23.54,12.07
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1983,Spring,0.62,17.3,23.44,11.44
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1983,Summer,0.23,24.78,30.98,19.19
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1983,Winter,1.09,10.22,17.49,4.02
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1984,Fall,3.74,17.56,22.55,10.83
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1984,Spring,2.06,16.12,21.94,10.73
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1984,Summer,0.06,24.01,29.91,17.92
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1984,Winter,3.84,10.18,15.31,5.66
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1985,Fall,2.12,17.1,23.2,12.12
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1985,Spring,1.63,17.27,22.59,11.43
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1985,Summer,0.2,24.35,30.58,18.03
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1985,Winter,3.83,11.49,17.06,6.01
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1986,Fall,3.48,16.82,22.63,12.21
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1986,Spring,0.5,16.78,22.85,10.67
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1986,Summer,0.31,25.31,32.09,19.15
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1986,Winter,3.94,11.1,16.45,6.46
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1987,Fall,2.09,18.83,24.35,14.09
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1987,Spring,0.46,17.63,23.89,11.59
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1987,Summer,0.05,25.33,31.13,20.25
AG000060390,ALGER DAR EL BEIDA,Algeria,DZA,12,36.7167,3.25,24.0,1987,Winter,2.77,11.43,17.11,6.7
